SIPSN - Sistem Informasi Pengelolaan Sampah Nasional;;;;;;;;;;;;;
Tahun;Provinsi;Kabupaten/Kota;Timbulan Sampah Tahunan (ton/tahun)(A);Pengurangan Sampah Tahunan (ton/tahun)(B);%Pengurangan Sampah(B/A);Penanganan Sampah Tahunan (ton/tahun)(C);%Penanganan Sampah(C/A);Sampah Terkelola Tahunan (ton/tahun)(B+C);%Sampah Terkelola(B+C)/A;Daur ulang Sampah Tahunan (ton/tahun)(D);Bahan baku Sampah Tahunan (ton/tahun)(E);Recycling Rate(D+E)/A;P1/P2
2022;Jawa Barat;Kota Bandung;581876,52;93497,38;16,07;469653,69;80,71;563151,07;96,78;93358,68;5545,59;17,00;P 2
2022;Jawa Barat;Kota Bekasi;668179,00;29412,83;4,40;365091,25;54,64;394504,08;59,04;4162,00;91,25;0,64;P 2
2022;Jawa Barat;Kota Cimahi;100542,32;17204,42;17,11;60299,46;59,97;77503,88;77,09;16898,55;;16,81;P 2
2022;Jawa Barat;Kota Tasikmalaya;116475,95;19401,40;16,66;75842,62;65,11;95244,02;81,77;19401,40;;16,66;P 2
2022;Jawa Barat;Kota Banjar;31267,80;6569,57;21,01;23792,89;76,09;30362,46;97,10;5320,65;2199,49;24,05;P 2
2022;Jawa Tengah;Kab. Cilacap;347055,78;46992,34;13,54;225940,90;65,10;272933,24;78,64;38522,40;102879,64;40,74;P 2
2022;Jawa Tengah;Kab. Banyumas;195964,49;130961,52;66,83;63649,25;32,48;194610,77;99,31;25301,52;5048,50;15,49;P 2
2022;Jawa Tengah;Kab. Purbalingga;186120,80;2607,25;1,40;40880,00;21,96;43487,25;23,37;;;0,00;P 2
2022;Jawa Tengah;Kab. Kebumen;169013,40;44237,55;26,17;102269,35;60,51;146506,90;86,68;32789,78;2737,50;21,02;P 2
2022;Jawa Tengah;Kab. Purworejo;105694,22;27553,63;26,07;24356,82;23,04;51910,45;49,11;25671,40;1000,47;25,23;P 2
2022;Jawa Tengah;Kab. Wonosobo;133682,56;16638,20;12,45;38325,00;28,67;54963,20;41,11;5145,44;;3,85;P 2
2022;Jawa Tengah;Kab. Boyolali;106781,29;29914,85;28,02;30571,31;28,63;60486,16;56,64;29877,18;458,81;28,41;P 2
2022;Jawa Tengah;Kab. Klaten;234703,44;58588,80;24,96;72010,38;30,68;130599,18;55,64;19971,81;36613,41;24,11;P 2
2022;Jawa Tengah;Kab. Sukoharjo;132101,09;26312,87;19,92;74514,02;56,41;100826,89;76,33;20293,83;13,87;15,37;P 2
2022;Jawa Tengah;Kab. Wonogiri;126917,85;46929,15;36,98;18336,14;14,45;65265,30;51,42;46880,24;33,95;36,96;P 2
2022;Jawa Tengah;Kab. Karanganyar;137065,97;4921,23;3,59;32850,00;23,97;37771,23;27,56;1157,00;;0,84;P 2
2022;Jawa Tengah;Kab. Sragen;215417,38;46077,89;21,39;104977,65;48,73;151055,54;70,12;17319,06;30992,15;22,43;P 2
2022;Jawa Tengah;Kab. Grobogan;310021,75;75925,26;24,49;85622,80;27,62;161548,05;52,11;73665,67;57882,80;42,43;P 2
2022;Jawa Tengah;Kab. Blora;139811,75;36349,83;26,00;103415,45;73,97;139765,28;99,97;18544,23;;13,26;P 2
2022;Jawa Tengah;Kab. Rembang;92026,00;14801,36;16,08;13937,01;15,14;28738,37;31,23;14263,99;4,38;15,50;P 2
2022;Jawa Tengah;Kab. Kudus;163578,95;37913,44;23,18;68334,09;41,77;106247,54;64,95;36728,75;21219,89;35,43;P 2
2022;Jawa Tengah;Kab. Jepara;150516,42;20354,24;13,52;60798,05;40,39;81152,29;53,92;9683,99;1449,05;7,40;P 2
2022;Jawa Tengah;Kab. Demak;263666,36;1800,94;0,68;32850,00;12,46;34650,94;13,14;1800,94;;0,68;P 2
2022;Jawa Tengah;Kab. Semarang;193421,53;25883,47;13,38;75135,25;38,85;101018,72;52,23;12542,52;36,50;6,50;P 2
2022;Jawa Tengah;Kab. Temanggung;146050,37;40682,72;27,86;45764,61;31,33;86447,33;59,19;32028,34;2564,61;23,69;P 2
2022;Jawa Tengah;Kab. Kendal;149652,92;754,57;0,50;59696,30;39,89;60450,86;40,39;586,18;46,61;0,42;P 2
2022;Jawa Tengah;Kab. Batang;207055,41;8601,88;4,15;41975,00;20,27;50576,88;24,43;8,16;;0,00;P 2
2022;Jawa Tengah;Kab. Pekalongan;142569,58;15338,30;10,76;51100,00;35,84;66438,30;46,60;5713,20;;4,01;P 2
2022;Jawa Tengah;Kab. Pemalang;216694,51;56081,45;25,88;128936,62;59,50;185018,06;85,38;56081,45;8486,62;29,80;P 2
2022;Jawa Tengah;Kab. Tegal;306466,23;46706,34;15,24;131765,00;42,99;178471,34;58,24;44365,86;;14,48;P 2
2022;Jawa Tengah;Kab. Brebes;366937,60;2385,77;0,65;48577,85;13,24;50963,62;13,89;6,99;;0,00;P 2
2022;Jawa Tengah;Kota Magelang;29384,62;5758,03;19,60;22019,29;74,93;27777,31;94,53;5745,91;117,71;19,95;P 2
2022;Jawa Tengah;Kota Surakarta;137345,45;18262,64;13,30;116991,99;85,18;135254,63;98,48;11795,34;;8,59;P 2
2022;Jawa Tengah;Kota Salatiga;41668,28;7878,27;18,91;32306,52;77,53;40184,80;96,44;7675,51;3000,67;25,62;P 2
2022;Jawa Tengah;Kota Semarang;431085,22;112850,45;26,18;314187,98;72,88;427038,43;99,06;60774,61;297,48;14,17;P 2
2022;Jawa Tengah;Kota Tegal;79365,97;21059,41;26,53;57421,80;72,35;78481,21;98,89;9551,16;3328,80;16,23;P 2
2022;D.I. Yogyakarta;Kab. Kulon Progo;64730,71;17612,65;27,21;11680,00;18,04;29292,65;45,25;17507,93;;27,05;P 2
2022;D.I. Yogyakarta;Kab. Gunungkidul;137871,89;29401,68;21,33;18363,88;13,32;47765,56;34,64;28917,04;77,38;21,03;P 2
2022;D.I. Yogyakarta;Kota Yogyakarta;110642,60;12384,62;11,19;97699,18;88,30;110083,80;99,49;12384,62;612,83;11,75;P 2
2022;Jawa Timur;Kab. Pacitan;104999,96;12210,47;11,63;14256,53;13,58;26467,00;25,21;12193,65;499,69;12,09;P 2
2022;Jawa Timur;Kab. Ponorogo;139552,64;29879,29;21,41;85038,07;60,94;114917,35;82,35;27603,92;1088,07;20,56;P 2
2022;Jawa Timur;Kab. Trenggalek;111498,74;18521,47;16,61;57305,00;51,40;75826,47;68,01;15478,20;;13,88;P 2
2022;Jawa Timur;Kab. Tulungagung;202148,86;35146,74;17,39;54677,00;27,05;89823,74;44,43;34743,54;12702,00;23,47;P 2
2022;Jawa Timur;Kab. Kediri;240082,40;16821,08;7,01;45907,26;19,12;62728,34;26,13;15221,48;1550,63;6,99;P 2
2022;Jawa Timur;Kab. Malang;350614,09;34732,75;9,91;145007,20;41,36;179739,95;51,26;34391,22;;9,81;P 2
2022;Jawa Timur;Kab. Lumajang;191446,12;35953,65;18,78;66857,60;34,92;102811,26;53,70;20795,96;281,60;11,01;P 2
2022;Jawa Timur;Kab. Jember;370362,43;4854,28;1,31;99170,50;26,78;104024,78;28,09;176,06;255,50;0,12;P 2
2022;Jawa Timur;Kab. Banyuwangi;297078,45;37514,19;12,63;49024,24;16,50;86538,43;29,13;26890,56;201,85;9,12;P 2
2022;Jawa Timur;Kab. Situbondo;93891,73;15982,16;17,02;58037,77;61,81;74019,93;78,84;4736,37;6526,20;12,00;P 2
2022;Jawa Timur;Kab. Mojokerto;168322,61;44680,60;26,54;24634,36;14,64;69314,96;41,18;43598,50;;25,90;P 2
2022;Jawa Timur;Kab. Jombang;193583,44;26052,49;13,46;53947,00;27,87;79999,49;41,33;25794,72;146,00;13,40;P 2
2022;Jawa Timur;Kab. Nganjuk;162107,74;20132,64;12,42;45278,98;27,93;65411,62;40,35;18768,62;17779,88;22,55;P 2
2022;Jawa Timur;Kab. Magetan;100647,87;31102,31;30,90;16719,92;16,61;47822,23;47,51;30554,81;714,67;31,07;P 2
2022;Jawa Timur;Kab. Ngawi;130696,23;25377,49;19,42;29125,18;22,28;54502,67;41,70;17470,90;1202,68;14,29;P 2
2022;Jawa Timur;Kab. Bojonegoro;137271,36;25031,69;18,24;22669,32;16,51;47701,01;34,75;17080,83;146,00;12,55;P 2
2022;Jawa Timur;Kab. Tuban;184439,37;47329,56;25,66;55489,13;30,09;102818,69;55,75;27041,67;2564,13;16,05;P 2
2022;Jawa Timur;Kab. Gresik;142835,43;21085,73;14,76;87963,22;61,58;109048,95;76,35;5548,83;6184,97;8,21;P 2
2022;Jawa Timur;Kab. Sampang;169511,29;2573,16;1,52;14315,12;8,44;16888,28;9,96;468,65;810,12;0,75;P 2
2022;Jawa Timur;Kab. Pamekasan;101140,55;16088,31;15,91;41377,39;40,91;57465,70;56,82;15843,55;41,14;15,71;P 2
2022;Jawa Timur;Kab. Sumenep;132197,86;12773,21;9,66;12543,83;9,49;25317,04;19,15;7840,31;133,83;6,03;P 2
2022;Jawa Timur;Kota Kediri;65183,70;9670,58;14,84;54380,98;83,43;64051,56;98,26;3264,51;679,63;6,05;P 2
2022;Jawa Timur;Kota Blitar;27732,70;3720,74;13,42;23382,80;84,31;27103,53;97,73;3571,73;1015,60;16,54;P 2
2022;Jawa Timur;Kota Malang;279148,37;71590,88;25,65;202226,44;72,44;273817,33;98,09;71468,32;11032,14;29,55;P 2
2022;Jawa Timur;Kota Probolinggo;35465,15;3893,65;10,98;24957,57;70,37;28851,22;81,35;3157,93;136,51;9,29;P 2
2022;Jawa Timur;Kota Pasuruan;53297,25;13117,54;24,61;39137,49;73,43;52255,02;98,04;13117,54;;24,61;P 2
2022;Jawa Timur;Kota Mojokerto;24420,33;5259,94;21,54;18907,00;77,42;24166,94;98,96;2866,59;;11,74;P 2
2022;Jawa Timur;Kota Madiun;44219,80;11499,80;26,01;32321,74;73,09;43821,54;99,10;3873,85;349,56;9,55;P 2
2022;Jawa Timur;Kota Surabaya;651043,42;39808,64;6,11;607016,55;93,24;646825,19;99,35;9006,85;39224,87;7,41;P 2
2022;Jawa Timur;Kota Batu;49359,46;6286,22;12,74;41975,00;85,04;48261,22;97,78;6190,82;;12,54;P 2
2022;Banten;Kab. Lebak;215885,24;8868,89;4,11;40880,00;18,94;49748,89;23,04;7426,24;;3,44;P 2
2022;Banten;Kab. Tangerang;841497,68;11858,98;1,41;498590,00;59,25;510448,98;60,66;11858,98;;1,41;P 2
2022;Banten;Kab. Serang;414581,97;148,28;0,04;30752,09;7,42;30900,37;7,45;148,28;;0,04;P 2
2022;Banten;Kota Tangerang;504258,12;59122,28;11,72;444855,24;88,22;503977,52;99,94;23884,76;1070,00;4,95;P 2
2022;Banten;Kota Cilegon;83169,08;2809,17;3,38;66430,00;79,87;69239,17;83,25;2809,17;;3,38;P 2
2022;Banten;Kota Serang;213464,02;1642,25;0,77;119514,51;55,99;121156,76;56,76;1626,47;;0,76;P 2
2022;Banten;Kota Tangerang Selatan;355009,43;81786,00;23,04;271510,54;76,48;353296,55;99,52;81786,00;267,00;23,11;P 2
2022;Bali;Kab. Jembrana;59472,92;10456,37;17,58;24856,50;41,79;35312,87;59,38;9806,35;;16,49;P 2
2022;Bali;Kab. Badung;119474,58;24445,58;20,46;87064,36;72,87;111509,95;93,33;24125,18;705,36;20,78;P 2
2022;Bali;Kab. Gianyar;196698,50;5237,73;2,66;169725,00;86,29;174962,73;88,95;4966,53;;2,52;P 2
2022;Bali;Kab. Klungkung;37643,55;494,61;1,31;26049,21;69,20;26543,81;70,51;119,00;3006,76;8,30;P 2
2022;Bali;Kab. Bangli;40836,05;7415,83;18,16;21552,16;52,78;28967,98;70,94;3546,34;260,98;9,32;P 2
2022;Bali;Kab. Karangasem;113711,83;31988,60;28,13;43800,00;38,52;75788,60;66,65;5628,77;;4,95;P 2
2022;Bali;Kab. Buleleng;143283,67;24306,89;16,96;56848,75;39,68;81155,64;56,64;23900,17;237,25;16,85;P 2
2022;Bali;Kota Denpasar;316312,65;45876,03;14,50;258120,94;81,60;303996,98;96,11;45876,03;365,00;14,62;P 2
2022;Nusa Tenggara Barat;Kab. Lombok Barat;105336,08;14,83;0,01;23360,16;22,18;23374,99;22,19;14,83;0,16;0,01;P 2
2022;Nusa Tenggara Barat;Kab. Lombok Tengah;153263,50;23461,58;15,31;22630,00;14,77;46091,58;30,07;23457,93;2555,00;16,97;P 2
2022;Nusa Tenggara Barat;Kab. Lombok Timur;196209,55;44382,67;22,62;58208,74;29,67;102591,41;52,29;34895,03;20,44;17,79;P 2
